,description,amount,name,unitName,foodPortions_amount,gramWeight,name
0,,,,,,,
1,"Hummus, commercial","[3.0, 0.0, 1.3, 0.0, 0.0, 0.0, 0.15, 0.115, 36.0, 0.0, 17.2, 0.018, 2.22, 0.0, 0.0, 0.009, 0.0, 0.044, 0.0, 0.0, 0.01, 0.027, 0.0, 0.005, 6.25, 6.81, 0.001, 0.007, 0.006, 0.0, 0.637, 0.0, 0.0, 7.35, 1.97, 8.12, 0.15, 0.0, 960.0, 0.0, 5.4, 2.41, 71.1, 166.0, 438.0, 0.348, 1.06, 1.0, 12.0, 0.0, 0.005, 0.0, 6.37, 7.48, 0.004, 0.006, 0.0, 0.012, 0.002, 0.005, 0.021, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 1.41, 0.634, 0.079, 258.0, 0.31, 9.47, 0.0, 0.0, 0.948, 0.318, 0.143, 0.0, 17.1, 14.9, 229.0, 0.18, 0.0, 0.0, 58.7, 41.0, 289.0, 1.38, 16.2, 1.74, 1.18, 0.0, 0.084, 0.001, 0.0, 0.0, 0.0, 0.0, 46.6, 1.1, 0.2, 0.0, 22.3, 0.2, 23.0, 0.34, 13.9, 0.012, 0.007, 6.81, 0.656, 0.0, 0.005, 0.0, 0.0, 0.0, 0.005, 16.1]","['Cryptoxanthin, beta', 'Lycopene', 'Tocopherol, delta', 'Tocotrienol, gamma', 'Tocotrienol, delta', 'Vitamin C, total ascorbic acid', 'Thiamin', 'Riboflavin', 'Folate, total', 'Vitamin K (Dihydrophylloquinone)', 'Vitamin K (phylloquinone)', 'Fatty acids, total trans', 'Fatty acids, total saturated', 'SFA 8:0', 'SFA 12:0', 'SFA 14:0', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 20:5 n-3 (EPA)', 'PUFA 22:5 n-3 (DPA)', 'SFA 17:0', 'SFA 24:0', 'TFA 16:1 t', 'MUFA 24:1 c', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'MUFA 22:1 c', 'MUFA 17:1', 'Fatty acids, total trans-monoenoic', 'MUFA 15:1', 'PUFA 18:3 n-3 c,c,c (ALA)', 'PUFA 20:3 n-3', 'PUFA 22:4', 'Protein', 'Ash', 'Starch', 'Fructose', 'Lactose', 'Energy', 'Galactose', 'Fiber, total dietary', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Vitamin A, RAE', 'Carotene, beta', 'Carotene, alpha', 'PUFA 20:4', 'PUFA 18:4', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'SFA 15:0', 'TFA 18:1 t', 'TFA 22:1 t', 'TFA 18:2 t not further defined', 'PUFA 18:2 CLAs', 'PUFA 20:2 n-6 c,c', 'MUFA 16:1 c', 'PUFA 18:3 n-6 c,c,c', 'Fatty acids, total trans-polyenoic', 'PUFA 20:3 n-6', 'SFA 4:0', 'SFA 6:0', 'SFA 10:0', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'Lutein + zeaxanthin', 'Tocopherol, beta', 'Tocopherol, gamma', 'Tocotrienol, alpha', 'Tocotrienol, beta', 'Niacin', 'Pantothenic acid', 'Vitamin B-6', 'Vitamin K (Menaquinone-4)', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Sucrose', 'Glucose', 'Maltose', 'Water', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Selenium, Se', 'Vitamin E (alpha-tocopherol)', 'Nitrogen', 'MUFA 14:1 c', 'MUFA 20:1 c', 'MUFA 22:1 n-9', 'PUFA 22:2', 'SFA 11:0', 'TFA 18:3 t', 'PUFA 20:3 n-9', 'Choline, total', 'Choline, from glycerophosphocholine', 'Betaine', 'Choline, from sphingomyelin', 'Choline, free', 'Choline, from phosphotidyl choline', 'Choline, from phosphocholine', 'Sugars, Total', 'Carbohydrate, by summation', 'Fatty acids, total trans-dienoic', 'MUFA 17:1 c', 'PUFA 18:2 c', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Total fat (NLEA)']","['µg', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'kJ', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'g', 'g', 'kcal', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']",[2.0],[33.9],['tablespoon']
2,"Tomatoes, grape, raw","[92.5, 27.2, 0.56, 0.63, 0.13, 0.0, 8.0, 0.0, 1.2, 0.6, 0.0, 9.8, 11.0, 0.058, 0.33, 11.9, 0.121, 28.0, 260.0, 6.0, 0.2, 2.1, 0.0, 0.0, 393.0, 0.0, 49.0, 12.0, 554.0, 95.0, 4100.0, 9.0, 0.98, 0.0, 0.02, 0.0, 0.12, 0.0, 0.7, 0.0, 0.0, 0.0, 4.2, 0.065, 0.075, 0.06, 10.0, 0.805, 0.83, 5.51, 27.0, 113.0, None]","['Water', 'Vitamin C, total ascorbic acid', 'Ash', 'Total lipid (fat)', 'Nitrogen', 'Betaine', 'Choline, free', 'Choline, from glycerophosphocholine', 'Choline, from phosphotidyl choline', 'Choline, from phosphocholine', 'Choline, from sphingomyelin', 'Choline, total', 'Calcium, Ca', 'Copper, Cu', 'Iron, Fe', 'Magnesium, Mg', 'Manganese, Mn', 'Phosphorus, P', 'Potassium, K', 'Sodium, Na', 'Zinc, Zn', 'Fiber, total dietary', 'Carotene, alpha', 'Cryptoxanthin, alpha', 'trans-beta-Carotene', 'Cryptoxanthin, beta', 'cis-beta-Carotene', 'cis-Lutein/Zeaxanthin', 'cis-Lycopene', 'Lutein', 'Lycopene', 'Zeaxanthin', 'Vitamin E (alpha-tocopherol)', 'Tocotrienol, alpha', 'Tocopherol, beta', 'Tocotrienol, beta', 'Tocopherol, delta', 'Tocotrienol, delta', 'Tocopherol, gamma', 'Tocotrienol, gamma', 'Vitamin K (Dihydrophylloquinone)', 'Vitamin K (Menaquinone-4)', 'Vitamin K (phylloquinone)', 'Riboflavin', 'Thiamin', 'Vitamin B-6', 'Folate, total', 'Niacin', 'Protein', 'Carbohydrate, by difference', 'Energy', 'Energy', 'Vitamin A']","['g', 'mg', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'µg', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'kcal', 'kJ', 'mg']","[5.0, 1.0]","[49.7, 152.0]","['tomatoes', 'cup']"
3,"Beans, snap, green, canned, regular pack, drained solids","[0.0, 0.0, 93.6, 0.19, 36.0, 0.39, 4.11, 21.0, 0.0, 0.65, 86.0, 23.0, 282.0, 0.041, 0.176, 0.78, 0.64, 1.04, 0.89, 12.7, 0.0, 97.0, 0.17, 1.29]","['Galactose', 'Lactose', 'Water', 'Zinc, Zn', 'Calcium, Ca', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Sucrose', 'Glucose', 'Energy', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Iron, Fe', 'Fructose', 'Protein', 'Ash', 'Magnesium, Mg', 'Maltose', 'Potassium, K', 'Nitrogen', 'Sugars, Total']","['g', 'g', 'g', 'mg', 'mg', 'g', 'g', 'kcal', 'g', 'g', 'kJ', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'mg', 'g', 'mg', 'g', 'g']",[1.0],[129.0],['cup']
4,"Frankfurter, beef, unheated","[28.0, 2.89, 314.0, 15.0, 343.0, 2.06, 1.17, 0.09, 54.6, 0.51, 2.25, 0.263, 0.13, 0.004, 0.0, 0.015, 6.33, 3.66, 0.029, 0.029, 0.003, 12.1, 0.954, 0.138, 1.38, 0.0, 0.131, 0.169, 0.008, 0.985, 0.005, 0.001, 0.021, 0.0, 0.17, 0.0, 0.0, 0.033, 0.154, 0.0, 0.97, 0.0, 0.0, 1.59, 11.4, 0.005, 0.019, 0.84, 0.0, 0.008, 0.003, 0.013, 0.355, 0.002, 0.087, 0.005, 10.4, 0.625, 0.064, 0.257, 1.46, 0.0, 0.078, 0.001, 0.008, 0.0, 1310.0, 11.7, 2.74, 1.14, 11.5, 128.0, 872.0, 0.046, 0.031, 3.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.87, 0.0, 0.267, 0.001, 0.117, 0.0, 0.064, 0.001, 1.26, 0.131, 0.257, 0.794, 0.084, 0.022, 0.029, 0.003, 0.013, 0.0, 0.008, 26.0]","['Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Glucose', 'Maltose', 'Water', 'Vitamin E (alpha-tocopherol)', 'Niacin', 'Pantothenic acid', 'Vitamin B-6', 'SFA 4:0', 'SFA 6:0', 'SFA 10:0', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'PUFA 20:4', 'PUFA 18:4', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'SFA 15:0', 'TFA 18:1 t', 'TFA 22:1 t', 'TFA 18:2 t not further defined', 'PUFA 18:2 CLAs', 'PUFA 20:2 n-6 c,c', 'MUFA 16:1 c', 'PUFA 18:3 n-6 c,c,c', 'Fatty acids, total trans-polyenoic', 'PUFA 20:3 n-6', 'Tocopherol, beta', 'Tocopherol, gamma', 'Tocotrienol, alpha', 'Tocotrienol, beta', 'Thiamin', 'Riboflavin', 'Folate, total', 'Vitamin B-12', 'Tocotrienol, gamma', 'Tocotrienol, delta', 'Fatty acids, total trans', 'Fatty acids, total saturated', 'SFA 8:0', 'SFA 12:0', 'SFA 14:0', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 20:5 n-3 (EPA)', 'PUFA 22:5 n-3 (DPA)', 'SFA 17:0', 'SFA 24:0', 'TFA 16:1 t', 'MUFA 24:1 c', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'MUFA 22:1 c', 'MUFA 17:1', 'Fatty acids, total trans-monoenoic', 'MUFA 15:1', 'PUFA 18:3 n-3 c,c,c (ALA)', 'PUFA 20:3 n-3', 'PUFA 22:4', 'Tocopherol, delta', 'Energy', 'Protein', 'Ash', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Retinol', 'Vitamin A, RAE', 'Sucrose', 'Fructose', 'Lactose', 'Galactose', 'Nitrogen', 'SFA 11:0', 'MUFA 14:1 c', 'TFA 18:3 t', 'MUFA 20:1 c', 'PUFA 20:3 n-9', 'MUFA 22:1 n-9', 'PUFA 22:2', 'Sugars, Total', 'Fatty acids, total trans-dienoic', 'MUFA 17:1 c', 'PUFA 18:2 c', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Total fat (NLEA)']","['g', 'g', 'kcal', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'kJ', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']",[1.0],[48.6],['piece']
5,"Nuts, almonds, dry roasted, with salt added","[0.005, 0.008, 0.0, 0.0, 0.0, 17.0, 0.0, 0.0, 0.0, 0.042, 0.0, 0.024, 0.001, 0.0, 0.0, 0.002, 0.0, 60.8, 34.2, 14.5, 0.002, 0.016, 0.016, 273.0, 684.0, 2.8, 0.0, 19.0, 57.8, 16.2, 0.001, 0.0, 0.18, 0.92, 3.1, 0.237, 0.075, 3.54, 0.828, 0.059, 620.0, 4.17, 0.0, 0.0, 2.2, 0.87, 2.02, 2590.0, 0.0, 3.17, 258.0, 456.0, 20.4, 3.47, 0.079, 1.57, 35.0, 0.0, 0.032, 4.56, 0.027, 0.028, 33.8, 14.5, 0.05, 0.061, 0.0, 2.0, 0.0, 11.0, 256.0, 25.0, 9.0, 0.0, 0.0, 3.94, 4.3, 0.4, 0.0, 0.0, 56.1, 0.0, 0.0, 0.001, 0.076, 0.006, 0.259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.28, 0.0, 0.0, 0.0, 0.0, 4.17, 0.016, 0.016, 0.0, 0.001, 0.061, 14.5, 0.052, 0.0, 0.005, 0.002, 0.0, 0.0, 0.0, 53.4]","['PUFA 20:4', 'SFA 15:0', 'PUFA 20:2 n-6 c,c', 'SFA 10:0', 'Lactose', 'Carotene, beta', 'Carotene, alpha', 'Vitamin C, total ascorbic acid', 'PUFA 22:6 n-3 (DHA)', 'SFA 22:0', 'PUFA 22:5 n-3 (DPA)', 'SFA 24:0', 'MUFA 24:1 c', 'SFA 8:0', 'SFA 12:0', 'PUFA 20:5 n-3 (EPA)', 'PUFA 18:4', 'Choline, total', 'Fatty acids, total monounsaturated', 'Fatty acids, total polyunsaturated', 'PUFA 18:3 n-6 c,c,c', 'TFA 18:1 t', 'TFA 18:2 t not further defined', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Selenium, Se', 'Vitamin E (alpha-tocopherol)', 'Total lipid (fat)', 'Carbohydrate, by difference', 'SFA 4:0', 'SFA 6:0', 'Tocopherol, beta', 'Tocopherol, gamma', 'Niacin', 'Pantothenic acid', 'Vitamin B-6', 'SFA 16:0', 'SFA 18:0', 'SFA 20:0', 'Energy', 'Sucrose', 'Glucose', 'Maltose', 'Water', 'Copper, Cu', 'Manganese, Mn', 'Energy', 'Galactose', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Protein', 'Ash', 'Thiamin', 'Riboflavin', 'Folate, total', 'Tocopherol, delta', 'Fatty acids, total trans', 'Fatty acids, total saturated', 'SFA 14:0', 'SFA 17:0', 'MUFA 18:1 c', 'PUFA 18:2 n-6 c,c', 'PUFA 18:3 n-3 c,c,c (ALA)', 'MUFA 17:1', 'MUFA 15:1', 'Vitamin A, RAE', 'Fructose', 'Fiber, total dietary', 'Sodium, Na', 'Lutein + zeaxanthin', 'Cryptoxanthin, beta', 'Lycopene', 'Vitamin K (phylloquinone)', 'Nitrogen', 'Choline, free', 'Choline, from glycerophosphocholine', 'Betaine', 'Choline, from sphingomyelin', 'Choline, from phosphocholine', 'Choline, from phosphotidyl choline', 'MUFA 14:1 c', 'MUFA 22:1 n-9', 'MUFA 20:1 c', 'PUFA 18:2 CLAs', 'MUFA 16:1 c', 'PUFA 22:4', 'PUFA 20:3 n-9', 'SFA 11:0', 'TFA 16:1 t', 'TFA 18:3 t', 'PUFA 20:3 n-6', 'TFA 22:1 t', 'PUFA 20:3 n-3', 'PUFA 22:2', 'Tocotrienol, beta', 'Tocotrienol, alpha', 'Tocotrienol, gamma', 'Tocotrienol, delta', 'Vitamin K (Menaquinone-4)', 'Vitamin K (Dihydrophylloquinone)', 'Sugars, Total', 'Fatty acids, total trans-monoenoic', 'Fatty acids, total trans-dienoic', 'Fatty acids, total trans-polyenoic', 'MUFA 22:1 c', 'MUFA 17:1 c', 'PUFA 18:2 c', 'PUFA 18:3 c', 'PUFA 20:3 c', 'PUFA 20:4c', 'PUFA 20:5c', 'PUFA 22:5 c', 'PUFA 22:6 c', 'PUFA 20:2 c', 'Total fat (NLEA)']","['g', 'g', 'g', 'g', 'g', 'µg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'kcal', 'g', 'g', 'g', 'g', 'mg', 'mg', 'kJ', 'g', 'mg', 'mg', 'mg', 'g', 'g', 'mg', 'mg', 'µg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'µg', 'g', 'g', 'mg', 'µg', 'µg', 'µg', 'µg', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'µg', 'µg', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g', 'g']",[1.0],[135.0],['cup']
6,"Kale, raw","[0.0, 27.0, 241.0, 2870.0, 0.0, 0.0, 390.0, 2.92, 1.54, 0.4, 0.0, 0.0, 0.0, 0.0, 93.4, 0.113, 0.347, 62.0, 148.0, 0.0, 4.1, 1.6, 32.7, 55.0, 53.0, 0.053, 0.92, 1.49, 4.42, 35.0, 0.0, 0.4, 0.0, 89.6, 0.66, 254.0, 348.0, 0.39, 6260.0, 0.0, 0.14, 0.0, 0.0, 1.18, 0.37, 0.147, 0.0, 0.47, 0.8]","['Lycopene', 'Cryptoxanthin, beta', 'Vitamin A, RAE', 'Carotene, beta', 'Carotene, alpha', 'Vitamin K (Dihydrophylloquinone)', 'Vitamin K (phylloquinone)', 'Protein', 'Ash', 'Fructose', 'Lactose', 'Tocopherol, delta', 'Tocotrienol, gamma', 'Tocotrienol, delta', 'Vitamin C, total ascorbic acid', 'Thiamin', 'Riboflavin', 'Folate, total', 'Energy', 'Galactose', 'Fiber, total dietary', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Sucrose', 'Glucose', 'Maltose', 'Water', 'Vitamin E (alpha-tocopherol)', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Lutein + zeaxanthin', 'Tocopherol, beta', 'Tocopherol, gamma', 'Tocotrienol, alpha', 'Tocotrienol, beta', 'Niacin', 'Pantothenic acid', 'Vitamin B-6', 'Vitamin K (Menaquinone-4)', 'Nitrogen', 'Sugars, Total']","['µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'µg', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'kJ', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'kcal', 'g', 'g', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'µg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'µg', 'g', 'g']",[1.0],[20.6],['cup']
7,"Egg, whole, raw, frozen, pasteurized","[11.2, 189.0, 0.0, 117.0, 1.2, 121.0, 1.77, 627.0, 12.3, 1.16, 0.0, 75.4, 55.0, 10.3, 0.91, 150.0, 0.0, 2.3, 2.3, 91.0, 420.0, 0.6, 1.97, 61.6]","['Magnesium, Mg', 'Phosphorus, P', 'Manganese, Mn', 'Potassium, K', 'Zinc, Zn', 'Sodium, Na', 'Iron, Fe', 'Energy', 'Protein', 'Ash', 'Vitamin D2 (ergocalciferol)', 'Water', 'Calcium, Ca', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Copper, Cu', 'Vitamin D3 (cholecalciferol)', 'Vitamin D (D2 + D3)', 'Vitamin D (D2 + D3), International Units', 'Cholesterol', '25-hydroxycholecalciferol', 'Nitrogen', 'Iodine, I']","['mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'kJ', 'g', 'g', 'µg', 'g', 'mg', 'g', 'g', 'kcal', 'mg', 'µg', 'µg', 'IU', 'mg', 'µg', 'g', 'µg']",[1.0],[28.4],['oz']
8,"Egg, white, raw, frozen, pasteurized","[130.0, 0.02, 0.0, 144.0, 0.0, 10.6, 0.0, 0.0, 88.3, 0.0, 9.0, 0.16, 0.74, 48.0, 201.0, 10.1, 0.7, 0.18, 3.0, 0.0, 0.0, 1.61, 0.0, 0.0]","['Potassium, K', 'Zinc, Zn', 'Vitamin D (D2 + D3), International Units', 'Sodium, Na', 'Copper, Cu', 'Magnesium, Mg', 'Vitamin D3 (cholecalciferol)', 'Vitamin D (D2 + D3)', 'Water', 'Vitamin D2 (ergocalciferol)', 'Calcium, Ca', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Energy', 'Protein', 'Ash', 'Iron, Fe', 'Cholesterol', 'Phosphorus, P', 'Manganese, Mn', 'Nitrogen', 'Iodine, I', '25-hydroxycholecalciferol']","['mg', 'mg', 'IU', 'mg', 'mg', 'mg', 'µg', 'µg', 'g', 'µg', 'mg', 'g', 'g', 'kcal', 'kJ', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'g', 'µg', 'µg']",[1.0],[28.4],['oz']
9,"Egg, white, dried","[1570.0, 79.9, 5.47, 0.0, 87.6, 107.0, 1250.0, 0.0, 0.0, 17.0, 104.0, 959.0, 0.43, 0.65, 6.02, 376.0, 7.98, 0.0, 0.0, 34.0, 0.0, 0.0, 0.0, 12.8]","['Energy', 'Protein', 'Ash', 'Iron, Fe', 'Magnesium, Mg', 'Phosphorus, P', 'Sodium, Na', 'Copper, Cu', 'Manganese, Mn', 'Cholesterol', 'Calcium, Ca', 'Potassium, K', 'Zinc, Zn', 'Total lipid (fat)', 'Carbohydrate, by difference', 'Energy', 'Water', 'Vitamin D (D2 + D3), International Units', 'Vitamin D (D2 + D3)', 'Iodine, I', 'Vitamin D3 (cholecalciferol)', '25-hydroxycholecalciferol', 'Vitamin D2 (ergocalciferol)', 'Nitrogen']","['kJ', 'g', 'g', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'mg', 'g', 'g', 'kcal', 'g', 'IU', 'µg', 'µg', 'µg', 'µg', 'µg', 'g']","[1.0, 1.0]","[7.0, 107.0]","['tablespoon', 'cup']"
